competition id|competition name|mat|category name|place|name|region|start time|score
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|1|Амгалан Жигжитов|Республика Бурятия|21.09.2023 01:02:00|9.217
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|2|Артём Тарайковский|г. Москва|21.09.2023 01:06:00|9.150
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|3|Антон Кислицин|Томская область|21.09.2023 01:04:00|8.777
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|4|Максим Дутиков|Орловская область|21.09.2023 01:10:00|8.767
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|5|Даниил Рязанцев|Свердловская область|21.09.2023 01:08:00|8.763
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|6|Алексей Гузев|Воронежская область|21.09.2023 01:12:00|8.710
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|7|Богдан Ампилов|Орловская область|21.09.2023 01:16:00|8.657
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|8|Михаил Кажикин|Воронежская область|21.09.2023 01:14:00|8.643
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 1 группа"|9|Борис Волков|Кемеровская область - Кузбасс|21.09.2023 01:00:00|8.100
1|КУБОК РОССИИ И ВСЕРОСИЙСКИЕ СОРЕВНОВАНИЯ ПО УШУ|Ковер 2|"Юниоры 15-17 лет | Кунгфу - традиционное ушу цюаньшу - 2 группа"|1|Георгий  Голобородкин|г. Москва|21.09.2023 01:42:00|9.270
